ID,NAME,MUNICIPALITY,DISTRICT,CANTON,COUNTRY
461,Wiggiswil,Wiggiswil,Verwaltungskreis Bern-Mittelland,BE,CH
462,Wiler b. Utzenstorf,Wiler bei Utzenstorf,Verwaltungskreis Emmental,BE,CH
463,Zielebach,Zielebach,Verwaltungskreis Emmental,BE,CH
464,Zuzwil BE,Zuzwil (BE),Verwaltungskreis Bern-Mittelland,BE,CH
465,Adelboden,Adelboden,Verwaltungskreis Frutigen-Niedersimmental,BE,CH
466,Aeschi b. Spiez,Aeschi bei Spiez,Verwaltungskreis Frutigen-Niedersimmental,BE,CH
467,Aeschiried,Aeschi bei Spiez,Verwaltungskreis Frutigen-Niedersimmental,BE,CH
468,Emdthal,Aeschi bei Spiez,Verwaltungskreis Frutigen-Niedersimmental,BE,CH
469,Frutigen,Frutigen,Verwaltungskreis Frutigen-Niedersimmental,BE,CH
470,Ried (Frutigen),Frutigen,Verwaltungskreis Frutigen-Niedersimmental,BE,CH
471,Achseten,Frutigen,Verwaltungskreis Frutigen-Niedersimmental,BE,CH
472,Kandergrund,Kandergrund,Verwaltungskreis Frutigen-Niedersimmental,BE,CH
473,Blausee-Mitholz,Kandergrund,Verwaltungskreis Frutigen-Niedersimmental,BE,CH
474,Kandersteg,Kandersteg,Verwaltungskreis Frutigen-Niedersimmental,BE,CH
475,Krattigen,Krattigen,Verwaltungskreis Frutigen-Niedersimmental,BE,CH
476,Mülenen,Reichenbach im Kandertal,Verwaltungskreis Frutigen-Niedersimmental,BE,CH
477,Reichenbach im Kandertal,Reichenbach im Kandertal,Verwaltungskreis Frutigen-Niedersimmental,BE,CH
478,Wengi b. Frutigen,Reichenbach im Kandertal,Verwaltungskreis Frutigen-Niedersimmental,BE,CH
479,Scharnachtal,Reichenbach im Kandertal,Verwaltungskreis Frutigen-Niedersimmental,BE,CH
480,Kiental,Reichenbach im Kandertal,Verwaltungskreis Frutigen-Niedersimmental,BE,CH
481,Sundlauenen,Beatenberg,Verwaltungskreis Interlaken-Oberhasli,BE,CH
482,Beatenberg,Beatenberg,Verwaltungskreis Interlaken-Oberhasli,BE,CH
483,Bönigen b. Interlaken,Bönigen,Verwaltungskreis Interlaken-Oberhasli,BE,CH
484,Brienz BE,Brienz (BE),Verwaltungskreis Interlaken-Oberhasli,BE,CH
485,Axalp,Brienz (BE),Verwaltungskreis Interlaken-Oberhasli,BE,CH
486,Brienzwiler,Brienzwiler,Verwaltungskreis Interlaken-Oberhasli,BE,CH
487,Därligen,Därligen,Verwaltungskreis Interlaken-Oberhasli,BE,CH
488,Burglauenen,Grindelwald,Verwaltungskreis Interlaken-Oberhasli,BE,CH
489,Grindelwald,Grindelwald,Verwaltungskreis Interlaken-Oberhasli,BE,CH
490,Gsteigwiler,Gsteigwiler,Verwaltungskreis Interlaken-Oberhasli,BE,CH
491,Zweilütschinen,Gündlischwand,Verwaltungskreis Interlaken-Oberhasli,BE,CH
492,Gündlischwand,Gündlischwand,Verwaltungskreis Interlaken-Oberhasli,BE,CH
493,Habkern,Habkern,Verwaltungskreis Interlaken-Oberhasli,BE,CH
494,Hofstetten b. Brienz,Hofstetten bei Brienz,Verwaltungskreis Interlaken-Oberhasli,BE,CH
495,Interlaken,Interlaken,Verwaltungskreis Interlaken-Oberhasli,BE,CH
496,Iseltwald,Iseltwald,Verwaltungskreis Interlaken-Oberhasli,BE,CH
497,Lauterbrunnen,Lauterbrunnen,Verwaltungskreis Interlaken-Oberhasli,BE,CH
498,Isenfluh,Lauterbrunnen,Verwaltungskreis Interlaken-Oberhasli,BE,CH
499,Wengen,Lauterbrunnen,Verwaltungskreis Interlaken-Oberhasli,BE,CH
500,Kleine Scheidegg,Lauterbrunnen,Verwaltungskreis Interlaken-Oberhasli,BE,CH
501,Eigergletscher,Lauterbrunnen,Verwaltungskreis Interlaken-Oberhasli,BE,CH
502,Stechelberg,Lauterbrunnen,Verwaltungskreis Interlaken-Oberhasli,BE,CH
503,Mürren,Lauterbrunnen,Verwaltungskreis Interlaken-Oberhasli,BE,CH
504,Gimmelwald,Lauterbrunnen,Verwaltungskreis Interlaken-Oberhasli,BE,CH
505,Leissigen,Leissigen,Verwaltungskreis Interlaken-Oberhasli,BE,CH
506,Lütschental,Lütschental,Verwaltungskreis Interlaken-Oberhasli,BE,CH
507,Matten b. Interlaken,Matten bei Interlaken,Verwaltungskreis Interlaken-Oberhasli,BE,CH
508,Niederried b. Interlaken,Niederried bei Interlaken,Verwaltungskreis Interlaken-Oberhasli,BE,CH
509,Oberried am Brienzersee,Oberried am Brienzersee,Verwaltungskreis Interlaken-Oberhasli,BE,CH
510,Goldswil b. Interlaken,Ringgenberg (BE),Verwaltungskreis Interlaken-Oberhasli,BE,CH
511,Ringgenberg BE,Ringgenberg (BE),Verwaltungskreis Interlaken-Oberhasli,BE,CH
512,Saxeten,Saxeten,Verwaltungskreis Interlaken-Oberhasli,BE,CH
513,Schwanden b. Brienz,Schwanden bei Brienz,Verwaltungskreis Interlaken-Oberhasli,BE,CH
514,Unterseen,Unterseen,Verwaltungskreis Interlaken-Oberhasli,BE,CH
515,Wilderswil,Wilderswil,Verwaltungskreis Interlaken-Oberhasli,BE,CH
516,Arni BE,Arni (BE),Verwaltungskreis Bern-Mittelland,BE,CH
517,Biglen,Biglen,Verwaltungskreis Bern-Mittelland,BE,CH
518,Bowil,Bowil,Verwaltungskreis Bern-Mittelland,BE,CH
519,Brenzikofen,Brenzikofen,Verwaltungskreis Bern-Mittelland,BE,CH
520,Freimettigen,Freimettigen,Verwaltungskreis Bern-Mittelland,BE,CH
521,Schlosswil,Grosshöchstetten,Verwaltungskreis Bern-Mittelland,BE,CH
522,Grosshöchstetten,Grosshöchstetten,Verwaltungskreis Bern-Mittelland,BE,CH
523,Häutligen,Häutligen,Verwaltungskreis Bern-Mittelland,BE,CH
524,Herbligen,Herbligen,Verwaltungskreis Bern-Mittelland,BE,CH
525,Kiesen,Kiesen,Verwaltungskreis Bern-Mittelland,BE,CH
526,Gysenstein,Konolfingen,Verwaltungskreis Bern-Mittelland,BE,CH
527,Konolfingen,Konolfingen,Verwaltungskreis Bern-Mittelland,BE,CH
528,Obergoldbach,Landiswil,Verwaltungskreis Bern-Mittelland,BE,CH
529,Landiswil,Landiswil,Verwaltungskreis Bern-Mittelland,BE,CH
530,Linden,Linden,Verwaltungskreis Bern-Mittelland,BE,CH
531,Mirchel,Mirchel,Verwaltungskreis Bern-Mittelland,BE,CH
532,Trimstein,Münsingen,Verwaltungskreis Bern-Mittelland,BE,CH
533,Münsingen,Münsingen,Verwaltungskreis Bern-Mittelland,BE,CH
534,Tägertschi,Münsingen,Verwaltungskreis Bern-Mittelland,BE,CH
535,Niederhünigen,Niederhünigen,Verwaltungskreis Bern-Mittelland,BE,CH
536,Oberdiessbach,Oberdiessbach,Verwaltungskreis Bern-Mittelland,BE,CH
537,Aeschlen b. Oberdiessbach,Oberdiessbach,Verwaltungskreis Bern-Mittelland,BE,CH
538,Bleiken b. Oberdiessbach,Oberdiessbach,Verwaltungskreis Bern-Mittelland,BE,CH
539,Oberthal,Oberthal,Verwaltungskreis Bern-Mittelland,BE,CH
540,Oppligen,Oppligen,Verwaltungskreis Bern-Mittelland,BE,CH
541,Rubigen,Rubigen,Verwaltungskreis Bern-Mittelland,BE,CH
542,Walkringen,Walkringen,Verwaltungskreis Bern-Mittelland,BE,CH
543,Bigenthal,Walkringen,Verwaltungskreis Bern-Mittelland,BE,CH
544,Rüfenacht BE,Worb,Verwaltungskreis Bern-Mittelland,BE,CH
545,Vielbringen b. Worb,Worb,Verwaltungskreis Bern-Mittelland,BE,CH
546,Worb,Worb,Verwaltungskreis Bern-Mittelland,BE,CH
547,Enggistein,Worb,Verwaltungskreis Bern-Mittelland,BE,CH
548,Richigen,Worb,Verwaltungskreis Bern-Mittelland,BE,CH
549,Zäziwil,Zäziwil,Verwaltungskreis Bern-Mittelland,BE,CH
550,Oberhünigen,Oberhünigen,Verwaltungskreis Bern-Mittelland,BE,CH
551,Allmendingen b. Bern,Allmendingen,Verwaltungskreis Bern-Mittelland,BE,CH
552,Wichtrach,Wichtrach,Verwaltungskreis Bern-Mittelland,BE,CH
553,Clavaleyres,Murten,Bezirk See / District du Lac,FR,CH
554,Rizenbach,Ferenbalm,Verwaltungskreis Bern-Mittelland,BE,CH
555,Ferenbalm,Ferenbalm,Verwaltungskreis Bern-Mittelland,BE,CH
556,Biberen,Ferenbalm,Verwaltungskreis Bern-Mittelland,BE,CH
557,Gammen,Ferenbalm,Verwaltungskreis Bern-Mittelland,BE,CH
558,Frauenkappelen,Frauenkappelen,Verwaltungskreis Bern-Mittelland,BE,CH
559,Gurbrü,Gurbrü,Verwaltungskreis Bern-Mittelland,BE,CH
560,Kriechenwil,Kriechenwil,Verwaltungskreis Bern-Mittelland,BE,CH
561,Laupen BE,Laupen,Verwaltungskreis Bern-Mittelland,BE,CH
562,Mühleberg,Mühleberg,Verwaltungskreis Bern-Mittelland,BE,CH
563,Rosshäusern,Mühleberg,Verwaltungskreis Bern-Mittelland,BE,CH
564,Gümmenen,Mühleberg,Verwaltungskreis Bern-Mittelland,BE,CH
565,Münchenwiler,Münchenwiler,Verwaltungskreis Bern-Mittelland,BE,CH
566,Neuenegg,Neuenegg,Verwaltungskreis Bern-Mittelland,BE,CH
567,Wileroltigen,Wileroltigen,Verwaltungskreis Bern-Mittelland,BE,CH
568,Belprahon,Belprahon,Arrondissement administratif Jura bernois,BE,CH
569,Champoz,Champoz,Arrondissement administratif Jura bernois,BE,CH
570,Corcelles BE,Corcelles (BE),Arrondissement administratif Jura bernois,BE,CH
571,Court,Court,Arrondissement administratif Jura bernois,BE,CH
572,Crémines,Crémines,Arrondissement administratif Jura bernois,BE,CH
573,Eschert,Eschert,Arrondissement administratif Jura bernois,BE,CH
574,Grandval,Grandval,Arrondissement administratif Jura bernois,BE,CH
575,Loveresse,Loveresse,Arrondissement administratif Jura bernois,BE,CH
576,Moutier,Moutier,Arrondissement administratif Jura bernois,BE,CH
577,Perrefitte,Perrefitte,Arrondissement administratif Jura bernois,BE,CH
578,Reconvilier,Reconvilier,Arrondissement administratif Jura bernois,BE,CH
579,Roches BE,Roches (BE),Arrondissement administratif Jura bernois,BE,CH
580,Le Fuet,Saicourt,Arrondissement administratif Jura bernois,BE,CH
581,Bellelay,Saicourt,Arrondissement administratif Jura bernois,BE,CH
582,Saicourt,Saicourt,Arrondissement administratif Jura bernois,BE,CH
583,Saules BE,Saules (BE),Arrondissement administratif Jura bernois,BE,CH
584,Schelten,Schelten,Arrondissement administratif Jura bernois,BE,CH
585,Seehof,Seehof,Arrondissement administratif Jura bernois,BE,CH
586,Sorvilier,Sorvilier,Arrondissement administratif Jura bernois,BE,CH
587,Tavannes,Tavannes,Arrondissement administratif Jura bernois,BE,CH
588,La Tanne,Tavannes,Arrondissement administratif Jura bernois,BE,CH
589,Rebévelier,Rebévelier,Arrondissement administratif Jura bernois,BE,CH
590,Châtelat,Petit-Val,Arrondissement administratif Jura bernois,BE,CH
591,Monible,Petit-Val,Arrondissement administratif Jura bernois,BE,CH
592,Sornetan,Petit-Val,Arrondissement administratif Jura bernois,BE,CH
593,Fornet-Dessous,Petit-Val,Arrondissement administratif Jura bernois,BE,CH
594,Souboz,Petit-Val,Arrondissement administratif Jura bernois,BE,CH
595,Les Ecorcheresses,Petit-Val,Arrondissement administratif Jura bernois,BE,CH
596,Pontenet,Valbirse,Arrondissement administratif Jura bernois,BE,CH
597,Bévilard,Valbirse,Arrondissement administratif Jura bernois,BE,CH
598,Malleray,Valbirse,Arrondissement administratif Jura bernois,BE,CH
599,La Neuveville,La Neuveville,Arrondissement administratif Jura bernois,BE,CH
600,Nods,Nods,Arrondissement administratif Jura bernois,BE,CH
601,Prêles,Plateau de Diesse,Arrondissement administratif Jura bernois,BE,CH
602,Lamboing,Plateau de Diesse,Arrondissement administratif Jura bernois,BE,CH
603,Diesse,Plateau de Diesse,Arrondissement administratif Jura bernois,BE,CH
604,Aegerten,Aegerten,Verwaltungskreis Biel/Bienne,BE,CH
605,Bellmund,Bellmund,Verwaltungskreis Biel/Bienne,BE,CH
606,Brügg BE,Brügg,Verwaltungskreis Biel/Bienne,BE,CH
607,Bühl b. Aarberg,Bühl,Verwaltungskreis Seeland,BE,CH
608,Epsach,Epsach,Verwaltungskreis Seeland,BE,CH
609,Hagneck,Hagneck,Verwaltungskreis Seeland,BE,CH
610,Hermrigen,Hermrigen,Verwaltungskreis Seeland,BE,CH
611,Jens,Jens,Verwaltungskreis Seeland,BE,CH
612,Ipsach,Ipsach,Verwaltungskreis Biel/Bienne,BE,CH
613,Ligerz,Ligerz,Verwaltungskreis Biel/Bienne,BE,CH
614,Merzligen,Merzligen,Verwaltungskreis Seeland,BE,CH
615,Mörigen,Mörigen,Verwaltungskreis Biel/Bienne,BE,CH
616,Nidau,Nidau,Verwaltungskreis Biel/Bienne,BE,CH
617,Orpund,Orpund,Verwaltungskreis Biel/Bienne,BE,CH
618,Port,Port,Verwaltungskreis Biel/Bienne,BE,CH
619,Safnern,Safnern,Verwaltungskreis Biel/Bienne,BE,CH
620,Scheuren,Scheuren,Verwaltungskreis Biel/Bienne,BE,CH
621,Schwadernau,Schwadernau,Verwaltungskreis Biel/Bienne,BE,CH
622,Studen BE,Studen (BE),Verwaltungskreis Seeland,BE,CH
623,Sutz,Sutz-Lattrigen,Verwaltungskreis Biel/Bienne,BE,CH
624,Täuffelen,Täuffelen,Verwaltungskreis Seeland,BE,CH
625,Gerolfingen,Täuffelen,Verwaltungskreis Seeland,BE,CH
626,Walperswil,Walperswil,Verwaltungskreis Seeland,BE,CH
627,Worben,Worben,Verwaltungskreis Seeland,BE,CH
628,Tüscherz-Alfermée,Twann-Tüscherz,Verwaltungskreis Biel/Bienne,BE,CH
629,Twann,Twann-Tüscherz,Verwaltungskreis Biel/Bienne,BE,CH
630,Därstetten,Därstetten,Verwaltungskreis Frutigen-Niedersimmental,BE,CH
631,Weissenburg,Därstetten,Verwaltungskreis Frutigen-Niedersimmental,BE,CH
632,Oey,Diemtigen,Verwaltungskreis Frutigen-Niedersimmental,BE,CH
633,Diemtigen,Diemtigen,Verwaltungskreis Frutigen-Niedersimmental,BE,CH
634,Horboden,Diemtigen,Verwaltungskreis Frutigen-Niedersimmental,BE,CH
635,Zwischenflüh,Diemtigen,Verwaltungskreis Frutigen-Niedersimmental,BE,CH
636,Schwenden im Diemtigtal,Diemtigen,Verwaltungskreis Frutigen-Niedersimmental,BE,CH
637,Latterbach,Erlenbach im Simmental,Verwaltungskreis Frutigen-Niedersimmental,BE,CH
638,Erlenbach im Simmental,Erlenbach im Simmental,Verwaltungskreis Frutigen-Niedersimmental,BE,CH
639,Oberwil im Simmental,Oberwil im Simmental,Verwaltungskreis Frutigen-Niedersimmental,BE,CH
640,Reutigen,Reutigen,Verwaltungskreis Thun,BE,CH
641,Gwatt (Thun),Spiez,Verwaltungskreis Frutigen-Niedersimmental,BE,CH
642,Einigen,Spiez,Verwaltungskreis Frutigen-Niedersimmental,BE,CH
643,Spiez,Spiez,Verwaltungskreis Frutigen-Niedersimmental,BE,CH
644,Hondrich,Spiez,Verwaltungskreis Frutigen-Niedersimmental,BE,CH
645,Faulensee,Spiez,Verwaltungskreis Frutigen-Niedersimmental,BE,CH
646,Wimmis,Wimmis,Verwaltungskreis Frutigen-Niedersimmental,BE,CH
647,Höfen b. Thun,Stocken-Höfen,Verwaltungskreis Thun,BE,CH
648,Niederstocken,Stocken-Höfen,Verwaltungskreis Thun,BE,CH
649,Oberstocken,Stocken-Höfen,Verwaltungskreis Thun,BE,CH
650,Guttannen,Guttannen,Verwaltungskreis Interlaken-Oberhasli,BE,CH
651,Hasliberg Hohfluh,Hasliberg,Verwaltungskreis Interlaken-Oberhasli,BE,CH
652,Hasliberg Wasserwendi,Hasliberg,Verwaltungskreis Interlaken-Oberhasli,BE,CH
653,Hasliberg Goldern,Hasliberg,Verwaltungskreis Interlaken-Oberhasli,BE,CH
654,Hasliberg Reuti,Hasliberg,Verwaltungskreis Interlaken-Oberhasli,BE,CH
655,Innertkirchen,Innertkirchen,Verwaltungskreis Interlaken-Oberhasli,BE,CH
656,Gadmen,Innertkirchen,Verwaltungskreis Interlaken-Oberhasli,BE,CH
657,Unterbach BE,Meiringen,Verwaltungskreis Interlaken-Oberhasli,BE,CH
658,Meiringen,Meiringen,Verwaltungskreis Interlaken-Oberhasli,BE,CH
659,Brünig,Meiringen,Verwaltungskreis Interlaken-Oberhasli,BE,CH
660,Rosenlaui,Schattenhalb,Verwaltungskreis Interlaken-Oberhasli,BE,CH
661,Schattenhalb,Schattenhalb,Verwaltungskreis Interlaken-Oberhasli,BE,CH
662,Boltigen,Boltigen,Verwaltungskreis Obersimmental-Saanen,BE,CH
663,Lenk im Simmental,Lenk,Verwaltungskreis Obersimmental-Saanen,BE,CH
664,St. Stephan,St. Stephan,Verwaltungskreis Obersimmental-Saanen,BE,CH
665,Matten (St. Stephan),St. Stephan,Verwaltungskreis Obersimmental-Saanen,BE,CH
666,Zweisimmen,Zweisimmen,Verwaltungskreis Obersimmental-Saanen,BE,CH
667,Blankenburg,Zweisimmen,Verwaltungskreis Obersimmental-Saanen,BE,CH
668,Oeschseite,Zweisimmen,Verwaltungskreis Obersimmental-Saanen,BE,CH
669,Feutersoey,Gsteig,Verwaltungskreis Obersimmental-Saanen,BE,CH
670,Gsteig b. Gstaad,Gsteig,Verwaltungskreis Obersimmental-Saanen,BE,CH
671,Lauenen b. Gstaad,Lauenen,Verwaltungskreis Obersimmental-Saanen,BE,CH
672,Abländschen,Saanen,Verwaltungskreis Obersimmental-Saanen,BE,CH
673,Saanenmöser,Saanen,Verwaltungskreis Obersimmental-Saanen,BE,CH
674,Schönried,Saanen,Verwaltungskreis Obersimmental-Saanen,BE,CH
675,Gstaad,Saanen,Verwaltungskreis Obersimmental-Saanen,BE,CH
676,Turbach,Saanen,Verwaltungskreis Obersimmental-Saanen,BE,CH
677,Grund b. Gstaad,Saanen,Verwaltungskreis Obersimmental-Saanen,BE,CH
678,Saanen,Saanen,Verwaltungskreis Obersimmental-Saanen,BE,CH
679,Sangernboden,Guggisberg,Verwaltungskreis Bern-Mittelland,BE,CH
680,Riffenmatt,Guggisberg,Verwaltungskreis Bern-Mittelland,BE,CH
681,Guggisberg,Guggisberg,Verwaltungskreis Bern-Mittelland,BE,CH
682,Riedstätt,Guggisberg,Verwaltungskreis Bern-Mittelland,BE,CH
683,Rüschegg Gambach,Rüschegg,Verwaltungskreis Bern-Mittelland,BE,CH
684,Rüschegg Heubach,Rüschegg,Verwaltungskreis Bern-Mittelland,BE,CH
685,Lanzenhäusern,Schwarzenburg,Verwaltungskreis Bern-Mittelland,BE,CH
686,Schwarzenburg,Schwarzenburg,Verwaltungskreis Bern-Mittelland,BE,CH
687,Mamishaus,Schwarzenburg,Verwaltungskreis Bern-Mittelland,BE,CH
688,Milken,Schwarzenburg,Verwaltungskreis Bern-Mittelland,BE,CH
689,Albligen,Schwarzenburg,Verwaltungskreis Bern-Mittelland,BE,CH
690,Belp,Belp,Verwaltungskreis Bern-Mittelland,BE,CH
691,Belpberg,Belp,Verwaltungskreis Bern-Mittelland,BE,CH
692,Burgistein,Burgistein,Verwaltungskreis Thun,BE,CH
693,Gerzensee,Gerzensee,Verwaltungskreis Bern-Mittelland,BE,CH
694,Gurzelen,Gurzelen,Verwaltungskreis Thun,BE,CH
695,Jaberg,Jaberg,Verwaltungskreis Bern-Mittelland,BE,CH
696,Kaufdorf,Kaufdorf,Verwaltungskreis Bern-Mittelland,BE,CH
697,Kehrsatz,Kehrsatz,Verwaltungskreis Bern-Mittelland,BE,CH
698,Kirchdorf BE,Kirchdorf (BE),Verwaltungskreis Bern-Mittelland,BE,CH
699,Mühledorf BE,Kirchdorf (BE),Verwaltungskreis Bern-Mittelland,BE,CH
700,Noflen BE,Kirchdorf (BE),Verwaltungskreis Bern-Mittelland,BE,CH
701,Gelterfingen,Kirchdorf (BE),Verwaltungskreis Bern-Mittelland,BE,CH
702,Niedermuhlern,Niedermuhlern,Verwaltungskreis Bern-Mittelland,BE,CH
703,Rüti b. Riggisberg,Riggisberg,Verwaltungskreis Bern-Mittelland,BE,CH
704,Rümligen,Riggisberg,Verwaltungskreis Bern-Mittelland,BE,CH
705,Riggisberg,Riggisberg,Verwaltungskreis Bern-Mittelland,BE,CH
706,Rüeggisberg,Rüeggisberg,Verwaltungskreis Bern-Mittelland,BE,CH
707,Oberbütschel,Rüeggisberg,Verwaltungskreis Bern-Mittelland,BE,CH
708,Hinterfultigen,Rüeggisberg,Verwaltungskreis Bern-Mittelland,BE,CH
709,Helgisried-Rohrbach,Rüeggisberg,Verwaltungskreis Bern-Mittelland,BE,CH
710,Seftigen,Seftigen,Verwaltungskreis Thun,BE,CH
711,Toffen,Toffen,Verwaltungskreis Bern-Mittelland,BE,CH
712,Uttigen,Uttigen,Verwaltungskreis Thun,BE,CH
713,Wattenwil,Wattenwil,Verwaltungskreis Thun,BE,CH
714,Zimmerwald,Wald (BE),Verwaltungskreis Bern-Mittelland,BE,CH
715,Englisberg,Wald (BE),Verwaltungskreis Bern-Mittelland,BE,CH
716,Mühlethurnen,Thurnen,Verwaltungskreis Bern-Mittelland,BE,CH
717,Lohnstorf,Thurnen,Verwaltungskreis Bern-Mittelland,BE,CH
718,Kirchenthurnen,Thurnen,Verwaltungskreis Bern-Mittelland,BE,CH
719,Aeschau,Eggiwil,Verwaltungskreis Emmental,BE,CH
720,Eggiwil,Eggiwil,Verwaltungskreis Emmental,BE,CH
721,Langnau im Emmental,Langnau im Emmental,Verwaltungskreis Emmental,BE,CH
722,Oberfrittenbach,Langnau im Emmental,Verwaltungskreis Emmental,BE,CH
723,Bärau,Langnau im Emmental,Verwaltungskreis Emmental,BE,CH
724,Gohl,Langnau im Emmental,Verwaltungskreis Emmental,BE,CH
725,Lauperswil,Lauperswil,Verwaltungskreis Emmental,BE,CH
726,Emmenmatt,Lauperswil,Verwaltungskreis Emmental,BE,CH
727,Röthenbach im Emmental,Röthenbach im Emmental,Verwaltungskreis Emmental,BE,CH
728,Schwanden im Emmental,Rüderswil,Verwaltungskreis Emmental,BE,CH
729,Zollbrück,Rüderswil,Verwaltungskreis Emmental,BE,CH
730,Rüderswil,Rüderswil,Verwaltungskreis Emmental,BE,CH
731,Schangnau,Schangnau,Verwaltungskreis Emmental,BE,CH
732,Signau,Signau,Verwaltungskreis Emmental,BE,CH
733,Schüpbach,Signau,Verwaltungskreis Emmental,BE,CH
734,Trub,Trub,Verwaltungskreis Emmental,BE,CH
735,Fankhaus (Trub),Trub,Verwaltungskreis Emmental,BE,CH
736,Trubschachen,Trubschachen,Verwaltungskreis Emmental,BE,CH
737,Amsoldingen,Amsoldingen,Verwaltungskreis Thun,BE,CH
738,Blumenstein,Blumenstein,Verwaltungskreis Thun,BE,CH
739,Heimenschwand,Buchholterberg,Verwaltungskreis Thun,BE,CH
740,Eriz,Eriz,Verwaltungskreis Thun,BE,CH
741,Fahrni b. Thun,Fahrni,Verwaltungskreis Thun,BE,CH
742,Heiligenschwendi,Heiligenschwendi,Verwaltungskreis Thun,BE,CH
743,Heimberg,Heimberg,Verwaltungskreis Thun,BE,CH
744,Hünibach,Hilterfingen,Verwaltungskreis Thun,BE,CH
745,Hilterfingen,Hilterfingen,Verwaltungskreis Thun,BE,CH
746,Homberg b. Thun,Homberg,Verwaltungskreis Thun,BE,CH
747,Horrenbach,Horrenbach-Buchen,Verwaltungskreis Thun,BE,CH
748,Buchen BE,Horrenbach-Buchen,Verwaltungskreis Thun,BE,CH
749,Oberhofen am Thunersee,Oberhofen am Thunersee,Verwaltungskreis Thun,BE,CH
750,Pohlern,Pohlern,Verwaltungskreis Thun,BE,CH
751,Gunten,Sigriswil,Verwaltungskreis Thun,BE,CH
752,Sigriswil,Sigriswil,Verwaltungskreis Thun,BE,CH
753,Tschingel ob Gunten,Sigriswil,Verwaltungskreis Thun,BE,CH
754,Aeschlen ob Gunten,Sigriswil,Verwaltungskreis Thun,BE,CH
755,Ringoldswil,Sigriswil,Verwaltungskreis Thun,BE,CH
756,Schwanden (Sigriswil),Sigriswil,Verwaltungskreis Thun,BE,CH
757,Merligen,Sigriswil,Verwaltungskreis Thun,BE,CH
